cohort,cohort_q,base_period,base_period_q,time,time_q,att,std_error,ci_low,ci_high,signif
13,2013Q1,12,2012Q4,28,2016Q4,-0.013269787371404605,0.012733132246254473,-0.03822626798444897,0.01168669324163976,
13,2013Q1,12,2012Q4,29,2017Q1,-0.011743986358118352,0.010815752208286799,-0.03294247115207004,0.00945449843583333,
13,2013Q1,12,2012Q4,30,2017Q2,-0.014990253959578979,0.01287129062801783,-0.04021752002504186,0.0102370121058839,
13,2013Q1,12,2012Q4,31,2017Q3,-0.014974917841485412,0.01282559967045264,-0.040112631275701374,0.01016279559273055,
13,2013Q1,12,2012Q4,32,2017Q4,-0.01656264154224758,0.012937291054346794,-0.04191926606627952,0.008793982981784361,
13,2013Q1,12,2012Q4,33,2018Q1,-0.0196895749643337,0.014165126128201056,-0.04745271201207507,0.008073562083407669,
13,2013Q1,12,2012Q4,34,2018Q2,-0.021171979901964955,0.0163500547010652,-0.05321749826131255,0.01087353845738264,
13,2013Q1,12,2012Q4,35,2018Q3,-0.018014500479809525,0.017274417167976074,-0.05187173598296303,0.01584273502334398,
13,2013Q1,12,2012Q4,36,2018Q4,-0.025369717219801344,0.016809706847866125,-0.05831613723229526,0.007576702792692576,
13,2013Q1,12,2012Q4,37,2019Q1,-0.025939782189365213,0.017794461465487067,-0.060816285786005696,0.00893672140727527,
13,2013Q1,12,2012Q4,38,2019Q2,-0.025475464068937304,0.01913269591646514,-0.06297485899236555,0.012023930854490938,
13,2013Q1,12,2012Q4,39,2019Q3,-0.02679233322698635,0.020239472702233665,-0.0664609707894459,0.0128763043354732,
13,2013Q1,12,2012Q4,40,2019Q4,-0.0227516603562915,0.01854224897405086,-0.059093800537805954,0.013590479825222958,
13,2013Q1,12,2012Q4,41,2020Q1,-0.026336723786379922,0.018457687095658405,-0.06251312573178011,0.009839678159020263,
13,2013Q1,12,2012Q4,42,2020Q2,-0.20266232500084047,0.09189187665870743,-0.3827670937237039,-0.022557556277977064,*
13,2013Q1,12,2012Q4,43,2020Q3,-0.09136220547327586,0.03412072475133339,-0.15823759711229368,-0.024486813834258034,*
13,2013Q1,12,2012Q4,44,2020Q4,-0.09608764603820084,0.029194110504603472,-0.1533070511879061,-0.038868240888495574,*
13,2013Q1,12,2012Q4,45,2021Q1,-0.09043117128798957,0.02804371429723443,-0.14539584130330005,-0.03546650127267909,*
13,2013Q1,12,2012Q4,46,2021Q2,-0.0732072169959066,0.021765015608598004,-0.11586586371171081,-0.030548570280102383,*
13,2013Q1,12,2012Q4,47,2021Q3,-0.06367962162365821,0.021416328262131083,-0.10565485369852243,-0.021704389548794008,*
13,2013Q1,12,2012Q4,48,2021Q4,-0.042893976721367875,0.022753464077721417,-0.08748994683722773,0.0017019933944919796,
13,2013Q1,12,2012Q4,49,2022Q1,-0.04436354551692185,0.02197382667737234,-0.08743145440709707,-0.0012956366267466227,*
13,2013Q1,12,2012Q4,50,2022Q2,-0.03864058532425123,0.023843706187469862,-0.085373390709647,0.008092220061144545,
13,2013Q1,12,2012Q4,51,2022Q3,-0.042922632881761374,0.02292488988403493,-0.08785459140401644,0.002009325640493699,
13,2013Q1,12,2012Q4,52,2022Q4,-0.04626137873974436,0.023002863259763712,-0.09134616227018086,-0.0011765952093078583,*
13,2013Q1,12,2012Q4,53,2023Q1,-0.05029237218252804,0.02265821130534857,-0.09470165029510952,-0.005883094069946561,*
13,2013Q1,12,2012Q4,54,2023Q2,-0.05060978498110604,0.023832645471375778,-0.09732091176131419,-0.003898658200897895,*
13,2013Q1,12,2012Q4,55,2023Q3,-0.04836022823261491,0.025006119237804037,-0.09737132133182501,0.0006508648665951855,
13,2013Q1,12,2012Q4,56,2023Q4,-0.050283374141052994,0.025339130924956266,-0.09994715815351238,-0.0006195901285936042,*
13,2013Q1,12,2012Q4,57,2024Q1,-0.0470357825101613,0.025174663459592957,-0.09637721621388001,0.002305651193557412,
13,2013Q1,12,2012Q4,58,2024Q2,-0.04869417376836007,0.025225296267815965,-0.098134845952632,0.0007464984159118657,
13,2013Q1,12,2012Q4,59,2024Q3,-0.05323013606329072,0.026021520436954333,-0.10423137894269419,-0.0022288931838872553,*
13,2013Q1,12,2012Q4,60,2024Q4,-0.04987288789846596,0.02741636150244532,-0.10360796903038924,0.003862193233457316,
13,2013Q1,12,2012Q4,61,2025Q1,-0.05295925132073112,0.029802576639915035,-0.11137122818145934,0.005452725539997087,
13,2013Q1,12,2012Q4,62,2025Q2,-0.050765511875249886,0.02959874967844133,-0.1087779952324114,0.0072469714819116265,
13,2013Q1,12,2012Q4,63,2025Q3,-0.04855798246061011,0.030957962155669077,-0.10923447332047548,0.012118508399255254,
13,2013Q1,12,2012Q4,64,2025Q4,-0.042280623586700816,0.03327467820617447,-0.10749779446796262,0.02293654729456099,
17,2014Q1,1,2010Q1,2,2010Q2,0.006832654457068739,0.004513940347957098,-0.002014506053289372,0.01567981496742685,
17,2014Q1,2,2010Q2,3,2010Q3,0.003936479992149899,0.004926765091621131,-0.005719802147716697,0.013592762132016496,
17,2014Q1,3,2010Q3,4,2010Q4,-0.0006857470048433474,0.001655292705134608,-0.003930061090779058,0.0025585670810923636,
17,2014Q1,4,2010Q4,5,2011Q1,0.0014593723439966743,0.00283012665161139,-0.004087573964848587,0.007006318652841936,
17,2014Q1,5,2011Q1,6,2011Q2,-0.004068643221590055,0.0034341987786573385,-0.01079954914350988,0.0026622627003297693,
17,2014Q1,6,2011Q2,7,2011Q3,-0.000867349812813504,0.0015231275604460591,-0.003852624975148134,0.002117925349521126,
17,2014Q1,7,2011Q3,8,2011Q4,-0.0011807775762961098,0.0025381684221972983,-0.0061554962704996686,0.003793941117907449,
17,2014Q1,8,2011Q4,9,2012Q1,0.0012508016012193683,0.00206462944099954,-0.0027957977445607946,0.005297400946999532,
17,2014Q1,9,2012Q1,10,2012Q2,-0.0017671980227888036,0.001993096148722831,-0.005673594692011039,0.0021391986464334325,
17,2014Q1,10,2012Q2,11,2012Q3,0.0011781519534658153,0.002330676778555769,-0.003389890592107327,0.005746194499038958,
17,2014Q1,11,2012Q3,12,2012Q4,-0.00412355395257169,0.0027576750479408585,-0.00952849772760054,0.0012813898224571596,
17,2014Q1,12,2012Q4,13,2013Q1,0.004307919280157657,0.001252226869598884,0.0018535997152705095,0.006762238845044804,*
17,2014Q1,13,2013Q1,14,2013Q2,0.0014534414519642583,0.0031431383352987755,-0.004706996483648522,0.007613879387577039,
17,2014Q1,14,2013Q2,15,2013Q3,-0.002787023815787718,0.0018128580108480602,-0.006340160226134839,0.0007661125945594024,
17,2014Q1,15,2013Q3,16,2013Q4,0.0024706681099404843,0.001994596975709275,-0.0014386701261222077,0.006380006346003176,
17,2014Q1,16,2013Q4,17,2014Q1,0.0008362358345083956,0.002193473333921022,-0.0034628929010258064,0.005135364570042598,
17,2014Q1,16,2013Q4,18,2014Q2,0.0027345674137527454,0.0029560790540555776,-0.0030592410676494185,0.00852837589515491,
17,2014Q1,16,2013Q4,19,2014Q3,-0.0010636578906661287,0.004510406105290621,-0.00990389141268532,0.007776575631353063,
17,2014Q1,16,2013Q4,20,2014Q4,-0.003976010470457258,0.006185210085702924,-0.01609879947524889,0.008146778534334376,
17,2014Q1,16,2013Q4,21,2015Q1,-0.005981944543908569,0.0075063045293033825,-0.02069403107833308,0.008730141990515944,
17,2014Q1,16,2013Q4,22,2015Q2,-0.004827907054195795,0.00838851438890184,-0.02126909314023942,0.011613279031847832,
17,2014Q1,16,2013Q4,23,2015Q3,-0.0032649500547004655,0.009014141050470171,-0.02093234186518605,0.01440244175578512,
17,2014Q1,16,2013Q4,24,2015Q4,-0.004696413365191976,0.00896507287895532,-0.022267633326721215,0.012874806596337265,
17,2014Q1,16,2013Q4,25,2016Q1,-0.005353902399406348,0.009998179342287389,-0.024949973821261996,0.014242169022449298,
17,2014Q1,16,2013Q4,26,2016Q2,-0.0042078681939265936,0.010635328140969142,-0.02505272831399144,0.016636991926138253,
17,2014Q1,16,2013Q4,27,2016Q3,-0.0030741152508361844,0.01140154362917263,-0.02542073013217664,0.019272499630504272,
17,2014Q1,16,2013Q4,28,2016Q4,-0.002476224676800784,0.012437764383328281,-0.02685379491631925,0.02190134556271768,
17,2014Q1,16,2013Q4,29,2017Q1,-0.00013271478697691788,0.012539633381336375,-0.02470994459373243,0.024444515019778595,
17,2014Q1,16,2013Q4,30,2017Q2,-0.001597699131675025,0.013578491464260451,-0.028211053366010052,0.02501565510266,
17,2014Q1,16,2013Q4,31,2017Q3,0.0009136087551015351,0.013934102336812233,-0.026396729981945845,0.028223947492148918,
17,2014Q1,16,2013Q4,32,2017Q4,-0.0004700251757753836,0.014310119630238005,-0.02851734426550151,0.027577293913950744,
17,2014Q1,16,2013Q4,33,2018Q1,-0.0008748302033809342,0.014830976655277267,-0.02994301030327869,0.028193349896516822,
17,2014Q1,16,2013Q4,34,2018Q2,-0.0018031905234813905,0.015824316305279796,-0.03281828056179973,0.029211899514836947,
17,2014Q1,16,2013Q4,35,2018Q3,-7.672480574344906e-05,0.01596899119160199,-0.03137537241072071,0.031221922799233814,
17,2014Q1,16,2013Q4,36,2018Q4,-0.0010742102769736312,0.016610013584812917,-0.03362923868592798,0.03148081813198072,
17,2014Q1,16,2013Q4,37,2019Q1,-0.003304191475813132,0.01743064147764201,-0.0374676209994215,0.030859238047795234,
17,2014Q1,16,2013Q4,38,2019Q2,-0.0017694182252277605,0.018512756192956985,-0.0380537536179943,0.034514917167538774,
17,2014Q1,16,2013Q4,39,2019Q3,-0.007017946505766341,0.019341015789361614,-0.04492564087733563,0.030889747865802945,
17,2014Q1,16,2013Q4,40,2019Q4,-0.008157145872647105,0.01968659124724822,-0.04674215569561508,0.03042786395032087,
17,2014Q1,16,2013Q4,41,2020Q1,-0.013353553941837848,0.019858926705140077,-0.05227633505553308,0.025569227171857382,
17,2014Q1,16,2013Q4,42,2020Q2,-0.27015202836486013,0.05765446939358816,-0.38315271192405975,-0.15715134480566048,*
17,2014Q1,16,2013Q4,43,2020Q3,-0.19233829475578343,0.04364811182060058,-0.27788702191733755,-0.10678956759422929,*
17,2014Q1,16,2013Q4,44,2020Q4,-0.17081151517297238,0.03609966258924427,-0.2415655537019391,-0.10005747664400566,*
17,2014Q1,16,2013Q4,45,2021Q1,-0.17904390676868412,0.036894724850975294,-0.2513562386961106,-0.10673157484125763,*
17,2014Q1,16,2013Q4,46,2021Q2,-0.1271006201378877,0.031036538545108856,-0.18793111789109024,-0.06627012238468517,*
17,2014Q1,16,2013Q4,47,2021Q3,-0.09110110269894442,0.027888540844120055,-0.145761638334794,-0.036440567063094835,*
17,2014Q1,16,2013Q4,48,2021Q4,-0.06208499606158204,0.02618821278815737,-0.11341294994584177,-0.010757042177322318,*
17,2014Q1,16,2013Q4,49,2022Q1,-0.05834371452928706,0.02690002705346865,-0.11106679873723872,-0.00562063032133539,*
17,2014Q1,16,2013Q4,50,2022Q2,-0.04985517351655988,0.026609299526364347,-0.10200844224207273,0.002298095208952959,
17,2014Q1,16,2013Q4,51,2022Q3,-0.046896739465076616,0.026789056707813542,-0.09940232579219231,0.00560884686203908,
17,2014Q1,16,2013Q4,52,2022Q4,-0.04493260540416068,0.027164342004828722,-0.09817373739735354,0.00830852658903218,
17,2014Q1,16,2013Q4,53,2023Q1,-0.04612041847235561,0.02719112098830175,-0.09941403630869819,0.007173199363986978,
17,2014Q1,16,2013Q4,54,2023Q2,-0.04285912911043245,0.027229350700642557,-0.09622767580610235,0.010509417585237449,
17,2014Q1,16,2013Q4,55,2023Q3,-0.03926273012392533,0.027595349503077387,-0.09334862129075229,0.014823161042901628,
17,2014Q1,16,2013Q4,56,2023Q4,-0.043349766396108644,0.02829672273581209,-0.09881032383881605,0.012110791046598762,
17,2014Q1,16,2013Q4,57,2024Q1,-0.04046242784784372,0.027955517346041913,-0.09525423501527062,0.014329379319583183,
17,2014Q1,16,2013Q4,58,2024Q2,-0.04144390770877043,0.026481123192196532,-0.09334595543564397,0.010458140018103114,
17,2014Q1,16,2013Q4,59,2024Q3,-0.04328101397448059,0.02658643417399895,-0.09538946743286343,0.008827439483902258,
